Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Model,Model Level,Sedentary,Max Depth (m),Min Depth (m),count
Animalia,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,Ginglymostoma cirratum,Nurse Shark,https://www.cgtrader.com/products/nurse-shark-d79cc57f-5ec2-4be4-bbac-c11ce6a3377d ,,,80,5.38,47
Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Gorgonia,Gorgonia ventalina,Purple Sea Fan,https://skfb.ly/oyyOH ,,,25.90805182,5.2,15
Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,Haemulon carbonarium,Black-tail Grunt,https://www.cgtrader.com/products/fish-3d-6a34c6e0-dff2-4375-9257-469577d423cd ,,,11,11,1
Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,Haemulon chrysargyreum,Banana Grunt,https://www.cgtrader.com/products/fish-3d-6a34c6e0-dff2-4375-9257-469577d423cd ,,,16.15443231,11,3
Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,Haemulon flavolineatum,Gold Laced Grunt,https://www.cgtrader.com/products/fish-3d-6a34c6e0-dff2-4375-9257-469577d423cd ,,,36.57607315,11,3
Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,Haemulon sciurus,Bluestriped Grunt,https://www.cgtrader.com/products/fish-3d-6a34c6e0-dff2-4375-9257-469577d423cd ,,,22.93999492,9.1,11
Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,Holocentrus adscensionis,Common Squirrelfish,None,,,66,18.28803658,4
Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,Holocentrus rufus,Longspine Squirrelfish,None,,,27,11,5
Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,Sargocentron coruscum,Reef Squirrelfish,None,,,45,11.5,12
Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,Sargocentron tiereoides,Pink Squirrelfish,None,,,26,26,1
Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,Sargocentron vexillarium,Dusky Squirrelfish,None,,,12.8016256,7.010414021,4
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres garnoti,Yellowhead Wrasse,https://skfb.ly/o7Mwv ,,,16.76403353,12,3
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres maculipinna,Clown Wrasse,https://skfb.ly/o7Mwv ,,,26,18,2
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres pictus,Rainbow Wrasse,https://skfb.ly/o7Mwv ,,,26,12.19202438,3
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres radiatus,Puddingwife Wrasse,https://skfb.ly/o7Mwv ,,,25,25,1
Animalia,Mollusca,Cephalopoda,Teuthida,Loliginidae,Sepioteuthis,Sepioteuthis sepioidea,Caribbean Reef Squid,https://skfb.ly/6pVBP ,,,30.48006096,9.2,10
Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus,Unspecified,https://skfb.ly/oqXzN ,,,14.1,14.1,1
Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus apodus,Dogtooth Snapper,https://skfb.ly/oqXzN ,,,22.93999492,21.9,2
Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus campechanus,Northern Red Snapper,https://skfb.ly/oqXzN ,,,24.68884938,24.68884938,1
Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus guttatus,Spotted Rose Snapper,https://skfb.ly/oqXzN ,,,22.93999492,22.93999492,1
Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus synagris,Lane Snapper,https://skfb.ly/oqXzN ,,,15.85,6.705613411,3
Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Ocyurus,Ocyurus chrysurus,Yellowtail Snapper,https://skfb.ly/oqXzN ,,,30.48006096,9.1,7
Animalia,Cnidaria,Anthozoa,Scleractinia,Meandrinidae,Dendrogyra,Dendrogyra cylindrus,Pillar Coral,https://skfb.ly/oDrWN ,,,25,11,7
Animalia,Chordata,Actinopterygii,Elopiformes,Megalopidae,Megalops,Megalops atlanticus,Atlantic Tarpon,https://skfb.ly/oDp6H ,,,30,7,15
Animalia,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,Millepora alcicornis,Branching Fire Coral,None,,,30.48006096,11,9
